id,usuario_id,produto_id,compra_id,pontuacao,comentario,data
108,3,28,60,5,Superou expectativas,2024-12-03
109,4,24,61,5,Voltarei a comprar,2024-10-17
110,4,1,62,4,Recomendo,2024-08-17
111,4,26,62,4,Boa relação custo-benefício,2024-08-24
112,4,10,63,3,Atendeu às expectativas,2025-01-30
113,4,1,63,4,Recomendo,2025-01-26
114,4,3,63,1,Produto de baixa qualidade,2025-01-28
115,4,14,64,4,Recomendo,2025-05-05
116,4,35,65,5,Voltarei a comprar,2025-05-28
117,4,9,66,5,Voltarei a comprar,2024-07-07
118,4,18,66,1,Péssima experiência,2024-06-27
119,4,1,66,3,Qualidade média,2024-07-05
120,4,34,68,5,Superou expectativas,2024-08-28
121,4,15,68,3,Qualidade média,2024-09-04
122,4,7,68,1,Chegou estragado,2024-09-02
123,4,11,69,2,Não muito fresco,2025-03-24
124,4,34,69,1,Produto de baixa qualidade,2025-03-26
125,4,19,69,5,Voltarei a comprar,2025-03-19
126,4,5,69,2,Abaixo do esperado,2025-03-13
127,4,9,70,5,Excelente produto,2025-01-10
128,4,26,70,5,Muito fresco,2025-01-18
129,4,20,71,5,Excelente produto,2024-07-09
130,4,23,72,5,Superou expectativas,2024-11-08
131,4,29,73,2,Preço alto para a qualidade,2024-07-15
132,4,30,73,3,Aceitável,2024-07-14
133,4,13,73,1,Chegou estragado,2024-07-17
134,4,12,74,1,Chegou estragado,2024-07-30
135,4,10,75,3,Produto razoável,2025-04-19
136,4,7,75,4,Boa relação custo-benefício,2025-04-19
137,4,34,75,5,Superou expectativas,2025-04-15
138,4,16,75,4,Bom produto,2025-04-17
139,4,25,76,4,Recomendo,2024-10-28
140,4,23,76,1,Produto de baixa qualidade,2024-10-27
141,4,10,77,1,Não recomendo,2025-01-14
142,4,5,77,4,Boa relação custo-benefício,2025-01-16
143,4,19,77,3,Produto razoável,2025-01-11
144,4,22,78,4,Bom produto,2025-04-05
145,4,5,78,5,Superou expectativas,2025-04-02
146,4,6,79,3,Aceitável,2024-08-26
147,4,10,79,4,Fresco e saboroso,2024-08-24
148,4,17,79,2,Não muito fresco,2024-08-29
149,4,29,80,1,Não recomendo,2025-04-04
150,4,11,80,3,Aceitável,2025-04-03
151,4,16,80,4,Recomendo,2025-04-02
152,5,33,81,2,Preço alto para a qualidade,2024-11-19
153,5,14,81,3,Qualidade média,2024-11-14
154,5,4,82,4,Fresco e saboroso,2025-03-22
155,5,16,82,2,Poderia ser melhor,2025-03-27
156,5,15,82,1,Péssima experiência,2025-03-26
157,5,20,84,3,Atendeu às expectativas,2024-12-25
158,5,27,85,4,Bom produto,2025-05-06
159,5,5,85,4,Boa relação custo-benefício,2025-05-09
160,5,1,85,4,Bom produto,2025-05-13
161,5,17,86,1,Não recomendo,2025-06-01
162,5,13,86,2,Abaixo do esperado,2025-05-27
163,5,8,87,3,Aceitável,2025-04-29
164,5,25,87,3,Atendeu às expectativas,2025-04-24
165,5,33,87,5,Superou expectativas,2025-05-01
166,5,1,87,4,Recomendo,2025-04-29
167,5,9,87,4,Fresco e saboroso,2025-04-23
168,5,26,88,2,Não muito fresco,2024-07-21
169,5,15,88,2,Preço alto para a qualidade,2024-07-17
170,5,6,88,4,Boa relação custo-benefício,2024-07-11
171,5,27,88,1,Produto de baixa qualidade,2024-07-14
172,5,21,89,2,Poderia ser melhor,2024-11-29
173,5,18,90,5,Voltarei a comprar,2024-08-30
174,5,21,90,2,Poderia ser melhor,2024-08-31
175,5,7,90,4,Bom produto,2024-08-31
176,5,7,91,1,Não recomendo,2025-01-19
177,5,4,91,1,Produto de baixa qualidade,2025-01-25
178,5,12,92,4,Bom produto,2024-09-03
179,5,11,92,4,Fresco e saboroso,2024-09-13
180,5,20,92,4,Bom produto,2024-09-09
181,5,18,92,4,Recomendo,2024-09-13
182,5,4,93,2,Não muito fresco,2025-04-17
183,5,18,93,1,Não recomendo,2025-04-11
184,5,9,93,5,Voltarei a comprar,2025-04-09
185,5,3,94,2,Preço alto para a qualidade,2024-08-12
186,5,1,94,2,Poderia ser melhor,2024-08-17
187,5,31,94,2,Não muito fresco,2024-08-08
188,5,9,94,3,Aceitável,2024-08-19
189,5,33,96,4,Boa relação custo-benefício,2025-05-07
190,5,2,96,1,Produto de baixa qualidade,2025-04-29
191,5,32,96,3,Atendeu às expectativas,2025-04-27
192,5,33,97,5,Voltarei a comprar,2024-10-29
193,5,23,97,5,Excelente produto,2024-10-23
194,5,24,97,3,Produto razoável,2024-10-30
195,5,25,97,4,Bom produto,2024-10-25
196,5,7,98,3,Produto razoável,2024-10-31
197,5,13,99,5,Muito fresco,2024-08-08
198,5,3,99,2,Poderia ser melhor,2024-08-02
199,5,10,100,3,Atendeu às expectativas,2024-09-18
200,6,2,101,3,Produto razoável,2025-06-01
201,6,5,101,4,Bom produto,2025-06-04
202,6,12,102,3,Atendeu às expectativas,2025-06-02
203,6,14,103,3,Aceitável,2025-02-12
204,6,15,103,2,Não muito fresco,2025-02-03
205,6,21,103,4,Boa relação custo-benefício,2025-02-07
206,6,17,103,2,Não muito fresco,2025-02-02
207,6,29,104,2,Preço alto para a qualidade,2025-03-03
208,6,15,105,3,Qualidade média,2024-11-18
209,6,18,106,4,Bom produto,2024-07-02
210,6,32,107,2,Não muito fresco,2025-01-14
211,6,16,107,2,Não muito fresco,2025-01-12
212,6,14,108,2,Abaixo do esperado,2024-12-14
213,6,26,109,2,Preço alto para a qualidade,2025-04-24
214,6,13,109,1,Não recomendo,2025-04-24
215,6,19,109,5,Superou expectativas,2025-04-15
216,6,15,109,1,Chegou estragado,2025-04-20
217,6,5,110,1,Não recomendo,2025-01-06
218,6,21,111,3,Qualidade média,2024-07-17
219,6,31,111,2,Abaixo do esperado,2024-07-24
220,6,12,111,5,Superou expectativas,2024-07-12
221,6,33,112,5,Superou expectativas,2024-11-25
222,6,29,112,2,Abaixo do esperado,2024-11-24
223,6,2,112,3,Aceitável,2024-11-29
224,6,21,113,1,Não recomendo,2024-08-17
225,6,3,113,5,Muito fresco,2024-08-16
226,6,34,115,4,Fresco e saboroso,2025-02-20
227,6,11,115,2,Preço alto para a qualidade,2025-03-01
228,6,24,116,5,Excelente produto,2024-08-03
229,6,14,116,5,Voltarei a comprar,2024-08-06
230,6,9,117,4,Bom produto,2025-03-15
231,6,20,117,2,Poderia ser melhor,2025-03-04
232,6,21,117,4,Fresco e saboroso,2025-03-03
233,6,16,118,1,Chegou estragado,2025-01-01
234,6,1,118,5,Superou expectativas,2024-12-27
235,6,32,118,5,Muito fresco,2025-01-01
236,6,14,118,2,Abaixo do esperado,2025-01-06
237,6,3,118,1,Péssima experiência,2025-01-01
238,6,31,119,2,Abaixo do esperado,2025-04-14
239,6,34,119,5,Muito fresco,2025-04-09
240,6,2,119,3,Produto razoável,2025-04-06
241,7,19,121,5,Excelente produto,2025-03-03
242,7,30,121,3,Produto razoável,2025-02-28
243,7,9,121,2,Não muito fresco,2025-03-01
244,7,26,125,4,Recomendo,2024-10-05
245,7,33,126,4,Fresco e saboroso,2024-06-26
246,7,20,126,4,Bom produto,2024-06-26
247,7,2,127,1,Não recomendo,2024-12-14
248,7,31,127,2,Abaixo do esperado,2024-12-12
249,7,10,128,1,Chegou estragado,2024-11-18
250,7,30,128,3,Atendeu às expectativas,2024-11-20
251,7,12,128,4,Recomendo,2024-11-20
252,7,30,129,1,Não recomendo,2024-10-06
253,7,28,129,1,Chegou estragado,2024-10-10
254,7,26,129,4,Fresco e saboroso,2024-10-10
255,7,32,129,3,Aceitável,2024-10-08
256,7,22,130,3,Qualidade média,2025-05-27
257,7,13,130,1,Não recomendo,2025-06-07
258,7,14,131,4,Recomendo,2024-07-05
259,7,32,131,4,Fresco e saboroso,2024-07-09
260,7,16,131,2,Abaixo do esperado,2024-07-09
261,7,23,132,3,Aceitável,2025-03-24
262,7,19,132,5,Muito fresco,2025-03-24
263,7,16,133,1,Produto de baixa qualidade,2025-01-18
264,7,22,133,3,Atendeu às expectativas,2025-01-24
265,7,29,134,3,Aceitável,2024-08-14
266,7,19,134,3,Qualidade média,2024-08-21
267,7,10,136,1,Não recomendo,2025-03-12
268,7,2,136,2,Poderia ser melhor,2025-03-05
269,7,11,136,3,Produto razoável,2025-03-11
270,7,20,136,1,Produto de baixa qualidade,2025-03-09
271,7,35,136,4,Bom produto,2025-03-15
272,7,18,137,1,Péssima experiência,2024-08-05
273,7,17,137,5,Superou expectativas,2024-07-29
274,7,23,138,2,Poderia ser melhor,2024-09-21
275,7,26,138,4,Boa relação custo-benefício,2024-09-21
276,7,31,139,4,Recomendo,2024-07-13
277,7,28,140,4,Fresco e saboroso,2024-06-14
278,7,2,140,3,Atendeu às expectativas,2024-06-12
279,8,16,141,3,Produto razoável,2024-11-07
280,8,25,142,2,Poderia ser melhor,2025-03-04
281,8,7,142,2,Não muito fresco,2025-03-05
282,8,30,142,1,Não recomendo,2025-03-07
283,8,5,142,5,Superou expectativas,2025-03-07
284,8,7,143,3,Produto razoável,2024-10-08
285,8,27,144,2,Preço alto para a qualidade,2025-03-23
286,8,14,144,4,Bom produto,2025-03-16
287,8,23,144,2,Abaixo do esperado,2025-03-23
288,8,14,145,2,Não muito fresco,2025-02-05
289,8,22,145,2,Poderia ser melhor,2025-01-27
290,8,11,148,3,Atendeu às expectativas,2025-03-28
291,8,27,148,4,Fresco e saboroso,2025-04-03
292,8,1,149,3,Atendeu às expectativas,2025-06-03
293,8,26,150,3,Atendeu às expectativas,2024-09-05
294,8,33,150,5,Voltarei a comprar,2024-08-25
295,8,35,150,5,Muito fresco,2024-08-27
296,8,27,151,4,Recomendo,2024-09-19
297,8,34,151,2,Não muito fresco,2024-09-19
298,8,4,151,3,Aceitável,2024-09-19
299,8,17,151,2,Abaixo do esperado,2024-09-21
300,8,1,152,4,Recomendo,2024-10-13
301,8,2,153,1,Péssima experiência,2025-02-10
302,8,6,153,2,Poderia ser melhor,2025-02-16
303,8,30,154,3,Qualidade média,2024-07-04
304,8,8,154,4,Recomendo,2024-07-06
305,8,25,156,4,Bom produto,2024-11-26
306,8,3,157,2,Abaixo do esperado,2025-05-03
307,8,20,157,2,Preço alto para a qualidade,2025-04-30
308,8,6,157,5,Muito fresco,2025-05-08
309,8,18,157,2,Abaixo do esperado,2025-05-01
310,8,3,158,4,Recomendo,2024-12-28
311,8,22,159,3,Aceitável,2024-11-29
312,8,25,160,3,Produto razoável,2024-07-18
313,8,10,160,3,Aceitável,2024-07-17
314,9,19,161,5,Voltarei a comprar,2025-02-12
315,9,34,161,3,Atendeu às expectativas,2025-02-08
316,9,28,161,4,Boa relação custo-benefício,2025-02-06
317,9,1,162,1,Produto de baixa qualidade,2024-09-22
318,9,5,162,5,Voltarei a comprar,2024-10-02
319,9,13,163,4,Boa relação custo-benefício,2024-10-04
320,9,5,163,5,Superou expectativas,2024-09-28
321,9,18,163,4,Bom produto,2024-09-22
322,9,23,163,5,Excelente produto,2024-09-29
323,9,2,164,2,Poderia ser melhor,2024-08-27
324,9,26,164,4,Recomendo,2024-08-25
325,9,12,165,1,Produto de baixa qualidade,2025-04-08
326,9,3,165,5,Muito fresco,2025-04-03
327,9,13,166,1,Péssima experiência,2025-03-03
328,9,35,166,2,Abaixo do esperado,2025-02-20
329,9,3,167,4,Boa relação custo-benefício,2024-07-28
330,9,8,168,5,Voltarei a comprar,2024-08-26
331,9,18,170,4,Fresco e saboroso,2025-05-27
332,9,24,170,3,Qualidade média,2025-05-29
333,9,31,171,2,Poderia ser melhor,2025-02-16
334,9,20,171,4,Fresco e saboroso,2025-02-14
335,9,1,172,2,Preço alto para a qualidade,2024-12-28
336,9,32,172,4,Boa relação custo-benefício,2025-01-09
337,9,25,173,1,Chegou estragado,2024-06-27
338,9,14,173,5,Excelente produto,2024-07-07
339,9,20,174,2,Abaixo do esperado,2024-09-03
340,9,15,175,4,Boa relação custo-benefício,2024-07-05
341,9,1,175,1,Não recomendo,2024-06-23
342,9,32,176,4,Fresco e saboroso,2025-02-04
343,9,21,176,3,Produto razoável,2025-02-15
344,9,4,176,1,Não recomendo,2025-02-08
345,9,14,177,2,Não muito fresco,2024-09-24
346,9,6,177,1,Produto de baixa qualidade,2024-09-22
347,9,1,177,2,Abaixo do esperado,2024-09-16
348,9,34,177,3,Qualidade média,2024-09-23
349,9,1,178,4,Fresco e saboroso,2024-12-09
350,9,34,178,5,Voltarei a comprar,2024-12-19
351,9,30,178,5,Muito fresco,2024-12-06
352,9,33,179,3,Produto razoável,2025-04-28
353,9,29,179,3,Qualidade média,2025-04-29
354,9,22,179,3,Atendeu às expectativas,2025-05-05
355,9,28,179,1,Péssima experiência,2025-04-27
356,9,9,180,4,Fresco e saboroso,2025-05-11
357,9,3,180,4,Boa relação custo-benefício,2025-05-17
358,10,10,181,3,Qualidade média,2025-06-05
359,10,18,181,2,Poderia ser melhor,2025-06-07
360,10,5,181,2,Não muito fresco,2025-06-01
361,10,19,182,3,Atendeu às expectativas,2024-09-01
362,10,32,182,3,Qualidade média,2024-09-10
363,10,10,183,2,Abaixo do esperado,2025-04-05
364,10,29,183,2,Poderia ser melhor,2025-04-01
365,10,13,184,4,Bom produto,2024-08-01
366,10,9,184,3,Aceitável,2024-07-31
367,10,10,185,2,Preço alto para a qualidade,2024-08-20
368,10,24,185,3,Produto razoável,2024-08-11
369,10,34,185,2,Poderia ser melhor,2024-08-12
370,10,3,185,1,Não recomendo,2024-08-21
371,10,29,186,5,Voltarei a comprar,2025-01-11
372,10,31,186,2,Não muito fresco,2025-01-13
373,10,35,187,2,Poderia ser melhor,2024-09-02
374,10,29,187,3,Produto razoável,2024-09-07
375,10,13,187,3,Atendeu às expectativas,2024-09-11
376,10,2,187,3,Qualidade média,2024-09-02
377,10,23,187,5,Muito fresco,2024-09-10
378,10,21,188,3,Atendeu às expectativas,2025-05-21
379,10,9,188,4,Bom produto,2025-05-26
380,10,8,188,2,Poderia ser melhor,2025-05-25
381,10,33,189,3,Produto razoável,2025-03-26
382,10,9,190,5,Excelente produto,2025-04-28
383,10,22,190,1,Produto de baixa qualidade,2025-04-20
384,10,32,190,4,Boa relação custo-benefício,2025-04-21
385,10,3,190,3,Aceitável,2025-04-28
386,10,12,191,1,Chegou estragado,2024-09-20
387,10,19,191,5,Muito fresco,2024-09-11
388,10,24,192,5,Muito fresco,2025-04-04
389,10,31,192,4,Recomendo,2025-04-04
390,10,33,192,3,Atendeu às expectativas,2025-04-15
391,10,30,192,3,Atendeu às expectativas,2025-04-09
392,10,27,193,4,Fresco e saboroso,2025-03-07
393,10,29,194,2,Poderia ser melhor,2024-05-30
394,10,2,195,2,Preço alto para a qualidade,2024-07-09
395,10,27,195,1,Produto de baixa qualidade,2024-07-12
396,10,35,196,3,Aceitável,2024-11-02
397,10,3,199,5,Muito fresco,2024-11-19
398,11,27,201,3,Aceitável,2024-08-01
399,11,6,201,4,Recomendo,2024-08-01
400,11,22,202,2,Abaixo do esperado,2024-08-03
401,11,17,203,4,Recomendo,2025-04-04
402,11,31,203,3,Produto razoável,2025-04-07
403,11,18,204,4,Bom produto,2025-02-05
404,11,27,205,5,Superou expectativas,2024-10-08
405,11,26,206,5,Excelente produto,2025-02-28
406,11,28,206,2,Preço alto para a qualidade,2025-02-28
407,11,14,206,4,Recomendo,2025-02-27
408,11,13,207,2,Preço alto para a qualidade,2025-04-16
409,11,30,207,3,Atendeu às expectativas,2025-04-13
410,11,23,207,1,Não recomendo,2025-04-10
411,11,2,208,2,Abaixo do esperado,2025-05-05
412,11,9,208,5,Voltarei a comprar,2025-05-04
413,11,23,208,4,Fresco e saboroso,2025-04-29
414,11,1,208,1,Produto de baixa qualidade,2025-04-29
415,11,14,208,5,Excelente produto,2025-04-22
416,11,10,210,4,Fresco e saboroso,2025-02-22
417,11,33,210,2,Preço alto para a qualidade,2025-02-12
418,11,28,210,5,Voltarei a comprar,2025-02-24
419,11,22,211,2,Abaixo do esperado,2025-01-26
420,11,12,211,3,Qualidade média,2025-01-27
421,11,8,212,4,Bom produto,2024-09-02
422,11,6,213,4,Recomendo,2025-04-06
423,11,21,213,2,Não muito fresco,2025-04-17
424,11,2,213,1,Produto de baixa qualidade,2025-04-11
425,11,11,214,2,Preço alto para a qualidade,2025-01-25
426,11,5,214,1,Péssima experiência,2025-01-28
427,11,9,214,2,Poderia ser melhor,2025-01-25
428,11,22,215,5,Muito fresco,2024-07-29
429,11,23,215,4,Recomendo,2024-07-26
430,11,29,216,2,Preço alto para a qualidade,2024-12-19
431,11,34,217,5,Muito fresco,2025-06-03
432,11,18,217,2,Não muito fresco,2025-05-24
433,11,19,218,2,Não muito fresco,2025-05-18
434,11,17,219,4,Fresco e saboroso,2025-02-07
435,11,19,219,5,Excelente produto,2025-01-28
436,11,23,219,1,Produto de baixa qualidade,2025-01-30
437,11,14,219,2,Não muito fresco,2025-02-09
438,11,18,220,2,Abaixo do esperado,2024-08-14
439,11,30,220,1,Não recomendo,2024-08-17
440,12,19,221,3,Produto razoável,2024-12-25
441,12,25,221,3,Produto razoável,2024-12-25
442,12,1,221,4,Recomendo,2024-12-26
443,12,19,222,2,Poderia ser melhor,2025-04-03
444,12,10,222,1,Não recomendo,2025-03-27
445,12,31,223,4,Recomendo,2024-08-03
446,12,7,223,3,Produto razoável,2024-08-10
447,12,33,223,2,Abaixo do esperado,2024-08-08
448,12,25,223,5,Muito fresco,2024-08-02
449,12,1,223,5,Muito fresco,2024-08-06
450,12,33,224,2,Abaixo do esperado,2025-05-28
451,12,15,225,4,Bom produto,2024-08-25
452,12,18,225,3,Qualidade média,2024-08-20
453,12,31,225,5,Excelente produto,2024-08-20
454,12,24,225,4,Recomendo,2024-08-22
455,12,9,226,3,Aceitável,2025-04-11
456,12,24,226,3,Produto razoável,2025-04-19
457,12,18,227,3,Atendeu às expectativas,2025-02-15
458,12,6,227,1,Não recomendo,2025-02-16
459,12,11,228,2,Poderia ser melhor,2025-02-26
460,12,25,228,3,Produto razoável,2025-02-26
461,12,14,228,3,Produto razoável,2025-03-04
462,12,28,229,3,Produto razoável,2024-07-16
463,12,30,230,4,Boa relação custo-benefício,2024-09-28
464,12,20,230,1,Produto de baixa qualidade,2024-09-27
465,12,8,230,1,Chegou estragado,2024-10-02
466,12,24,231,3,Produto razoável,2024-07-31
467,12,8,231,4,Boa relação custo-benefício,2024-07-28
468,12,20,231,5,Superou expectativas,2024-07-23
469,12,34,232,3,Produto razoável,2024-11-05
470,12,31,232,2,Abaixo do esperado,2024-11-03
471,12,11,232,4,Bom produto,2024-11-04
472,12,35,232,3,Atendeu às expectativas,2024-11-06
473,12,26,233,2,Não muito fresco,2025-04-25
474,12,16,233,5,Excelente produto,2025-04-25
475,12,16,234,3,Produto razoável,2025-01-20
476,12,6,234,5,Voltarei a comprar,2025-01-22
477,12,17,234,2,Abaixo do esperado,2025-01-29
478,12,4,234,2,Não muito fresco,2025-01-20
479,12,32,235,3,Atendeu às expectativas,2025-01-23
480,12,4,235,3,Aceitável,2025-01-18
481,12,8,235,2,Poderia ser melhor,2025-01-18
482,12,23,236,3,Aceitável,2024-10-27
483,12,30,236,3,Aceitável,2024-10-21
484,12,20,236,5,Muito fresco,2024-10-18
485,12,17,237,1,Produto de baixa qualidade,2025-03-10
486,12,27,238,5,Voltarei a comprar,2025-04-25
487,12,11,238,5,Muito fresco,2025-04-16
488,12,12,238,4,Recomendo,2025-04-24
489,12,13,238,5,Superou expectativas,2025-04-19
490,12,4,239,3,Produto razoável,2025-02-14
491,12,13,239,5,Superou expectativas,2025-02-21
492,12,16,239,5,Superou expectativas,2025-02-10
493,12,4,240,4,Recomendo,2024-12-09
494,12,8,240,2,Abaixo do esperado,2024-12-02
495,12,17,240,3,Aceitável,2024-12-05
496,12,11,240,1,Produto de baixa qualidade,2024-12-04
497,13,29,241,3,Qualidade média,2024-08-01
498,13,23,241,3,Aceitável,2024-07-28
499,13,31,242,1,Chegou estragado,2025-04-06
500,13,11,242,5,Voltarei a comprar,2025-03-27
501,13,12,242,3,Aceitável,2025-04-06
502,13,35,243,4,Recomendo,2025-04-04
503,13,16,243,3,Atendeu às expectativas,2025-04-10
504,13,30,243,3,Produto razoável,2025-04-04
505,13,23,243,3,Aceitável,2025-04-08
506,13,4,244,4,Bom produto,2025-01-30
507,13,8,244,5,Superou expectativas,2025-01-30
508,13,19,244,5,Superou expectativas,2025-01-28
509,13,18,244,2,Preço alto para a qualidade,2025-02-01
510,13,2,245,3,Produto razoável,2025-03-23
511,13,19,245,4,Boa relação custo-benefício,2025-03-21
512,13,11,245,4,Recomendo,2025-03-25
513,13,13,246,2,Não muito fresco,2025-04-16
514,13,6,247,4,Recomendo,2025-04-01
515,13,27,247,5,Superou expectativas,2025-03-29
516,13,29,247,4,Bom produto,2025-03-28
517,13,1,247,1,Produto de baixa qualidade,2025-04-07
518,13,1,248,5,Excelente produto,2025-05-09
519,13,21,248,4,Fresco e saboroso,2025-05-08
520,13,27,249,5,Muito fresco,2025-05-23
521,13,35,250,2,Não muito fresco,2025-05-25
522,13,1,250,1,Chegou estragado,2025-05-22
523,13,15,250,4,Fresco e saboroso,2025-05-27
524,13,13,250,1,Produto de baixa qualidade,2025-05-30
525,13,32,250,2,Não muito fresco,2025-05-25
526,13,22,251,5,Muito fresco,2024-12-05
527,13,23,251,5,Muito fresco,2024-12-07
528,13,27,251,5,Superou expectativas,2024-12-02
529,13,7,252,3,Qualidade média,2025-03-14
530,13,20,252,1,Não recomendo,2025-03-12
531,13,35,253,4,Fresco e saboroso,2025-05-29
532,13,29,253,1,Não recomendo,2025-05-31
533,13,22,254,2,Preço alto para a qualidade,2025-04-19
534,13,4,254,3,Atendeu às expectativas,2025-04-19
535,13,2,254,1,Péssima experiência,2025-04-27
536,13,5,255,5,Excelente produto,2025-04-11
537,13,21,255,1,Não recomendo,2025-04-14
538,13,29,256,5,Superou expectativas,2024-11-02
539,13,28,256,1,Chegou estragado,2024-10-31
540,13,22,256,2,Abaixo do esperado,2024-10-21
541,13,6,257,2,Abaixo do esperado,2025-05-14
542,13,31,257,5,Muito fresco,2025-05-06
543,13,20,258,3,Atendeu às expectativas,2025-04-04
544,13,1,258,4,Boa relação custo-benefício,2025-03-25
545,13,32,258,2,Preço alto para a qualidade,2025-03-26
546,13,24,258,1,Chegou estragado,2025-03-30
